url,title
ftp://ygdy8:ygdy8@yg77.dydytt.net:7011/[阳光电影www.ygdy8.com].疾速特攻.HD.720p.中英双字幕.rmvb,2017年高分惊悚动作《疾速特攻/疾速追杀2》HD中英双字幕
ftp://ygdy8:ygdy8@yg77.dydytt.net:7013/[阳光电影www.ygdy8.com].猜火车2.BD.720p.中英双字幕.mkv,2017年高分剧情《猜火车2/迷幻列车2》BD中英双字幕
ftp://ygdy8:ygdy8@yg42.dydytt.net:7027/[阳光电影www.ygdy8.com].救命解药.BD.720p.中英双字幕.mkv,2016年悬疑惊悚《救命解药》BD中英双字幕
ftp://ygdy8:ygdy8@yg42.dydytt.net:8025/[阳光电影www.ygdy8.com].战争机器.BD.720p.中英双字幕.mkv,2017年剧情喜剧《战争机器》BD中英双字幕
ftp://ygdy8:ygdy8@y153.dydytt.net:8264/[阳光电影www.ygdy8.com].猎捕(第1集).BD.720p.中英双字幕.mkv,2015年高分纪录片《猎捕/生存战》BD中英双字幕
ftp://ygdy8:ygdy8@y153.dydytt.net:9237/[阳光电影www.ygdy8.com].傲娇与偏见.HD.720p.国语中字.mkv,2017年爱情喜剧《傲娇与偏见》HD国语中字
ftp://ygdy8:ygdy8@yg77.dydytt.net:7014/[阳光电影www.ygdy8.com].疾速特攻.BD.720p.中英双字幕.mkv,2017年高分动作《疾速特攻/疾速追杀2》BD中英双字幕
ftp://ygdy8:ygdy8@yg77.dydytt.net:8015/[阳光电影www.ygdy8.com].沒有秘密.HD.720p.韩语中字.mkv,2016年孙艺珍惊悚《没有秘密》HD韩语中字
ftp://ygdy8:ygdy8@yg42.dydytt.net:7030/[阳光电影www.ygdy8.com].喜欢你.HD.720p.国语中字.mkv,2017年金城武周冬雨《喜欢你》HD国语中字
ftp://ygdy8:ygdy8@y219.dydytt.net:8274/[阳光电影www.ygdy8.com].纽约纽约.BD.720p.国语中字.mkv,2016年阮经天杜鹃爱情《纽约纽约》BD国语中字
ftp://ygdy8:ygdy8@yg42.dydytt.net:8033/[阳光电影www.ygdy8.com].摔跤吧！爸爸.BD.720p.中英双字幕.mkv,2016年高分传记剧情《摔跤吧！爸爸》BD中英双字幕
ftp://ygdy8:ygdy8@y219.dydytt.net:9279/[阳光电影www.ygdy8.com].一万公里的约定.BD.720p.国语中字.mkv,2016年剧情《一万公里的约定》BD国语中字
ftp://ygdy8:ygdy8@y219.dydytt.net:8276/[阳光电影www.ygdy8.com].乘风破浪.BD.720p.国语中字.mkv,2017年邓超彭于晏赵丽颖《乘风破浪》BD国语中字
ftp://ygdy8:ygdy8@y153.dydytt.net:9238/[阳光电影www.ygdy8.com].贝尔科实验.BD.720p.中英双字幕.mkv,2017年惊悚动作《贝尔科实验/办公室大狂杀》BD中英双字幕
ftp://ygdy8:ygdy8@yg77.dydytt.net:8018/[阳光电影www.ygdy8.com].异星觉醒.BD.720p.中英双字幕.mkv,2017年科幻惊悚《异星觉醒/外星生命》BD中英双字幕
ftp://ygdy8:ygdy8@yg77.dydytt.net:8019/[阳光电影www.ygdy8.com].春娇救志明.HD.720p.国粤双语中字.mkv,2017年剧情《春娇救志明/志明与春娇3》HD国粤双语中字
ftp://ygdy8:ygdy8@y219.dydytt.net:8282/[阳光电影www.ygdy8.com].超凡战队.BD.720p.中英双字幕.mkv,2017年科幻动作《超凡战队》BD中英双字幕
ftp://ygdy8:ygdy8@y153.dydytt.net:8270/[阳光电影www.ygdy8.com].嫌疑人X的献身.HD.720p.国语中字.mkv,2017年王凯张鲁一悬疑《嫌疑人X的献身》HD国语中字
ftp://ygdy8:ygdy8@y219.dydytt.net:9282/[阳光电影www.ygdy8.com].动物园长的夫人.BD.720p.中英双字幕.mkv,2017年剧情传记历史《动物园长的夫人》BD中英双字幕
ftp://ygdy8:ygdy8@y153.dydytt.net:8271/[阳光电影www.ygdy8.com].歌声不绝.BD.720p.中英双字幕.mkv,2017年剧情音乐《歌声不绝》BD中英双字幕
ftp://ygdy8:ygdy8@yg37.dydytt.net:7036/[阳光电影www.ygdy8.com].蓝精灵：寻找神秘村.HD.720p.中英双字幕.rmvb,2017年动画喜剧《蓝精灵：寻找神秘村》HD中英双字幕
ftp://ygdy8:ygdy8@y153.dydytt.net:9242/[阳光电影www.ygdy8.com].救僵清道夫.BD.720p.国粤双语中字.mkv,2017年恐怖动作《救僵清道夫/尸奔日记》BD国粤双语中字
ftp://ygdy8:ygdy8@y153.dydytt.net:9243/[阳光电影www.ygdy8.com].此情此刻.BD.720p.国粤双语中字.mkv,2016年林家栋陈静《此情此刻》BD国粤双语中字
ftp://ygdy8:ygdy8@y219.dydytt.net:7008/[阳光电影www.ygdy8.com].非凡任务.BD.720p.国语中字.mkv,2017年段奕宏黄轩动作《非凡任务/猎鹰》BD国语中字
ftp://ygdy8:ygdy8@y219.dydytt.net:7009/[阳光电影www.ygdy8.com].金刚：骷髅岛.BD.720p.国英双语.中英双字幕.mkv,2017年动作《金刚：骷髅岛》国英双语.BD中英双字幕
